edad	estado	color	residen	estatura	peso
23	S	A	1	72.2	143
23	S	A	2	67.5	143
23	S	A	1	71.5	179.5
23	S	A	2	71.8	145
23	C	A	2	71.2	143.75
23	S	A	1	68.1	177.5
23	S	A	1	79.5	203.25
23	S	A	3	67.3	139
23	S	A	2	64.5	118
23	S	A	3	62.6	121
23	S	A	2	67.8	128.25
23	S	A	2	69.6	141.75
23	S	A	3	67.6	146.25
23	S	A	1	66.3	143
23	S	A	2	65.2	123
23	S	A	2	69.8	142.5
23	S	A	3	65.8	125.25
23	C	A	1	67.5	143
23	S	A	1	68.2	137.5
23	S	A	2	66.2	131
23	S	A	2	64.6	135.25
23	S	A	1	69.7	169.25
23	S	A	nc	63.9	145
23	S	A	1	62.4	117
23	S	A	2	65.6	134
23	S	A	2	66.7	131.25
23	S	A	1	66.5	131
23	S	A	2	71	143.25
23	S	A	2	69.2	137
23	S	A	2	68.2	158.5
23	S	A	3	66.8	145
23	S	A	2	69.2	161.5
23	S	A	2	69.2	136
23	S	A	2	69.3	155.5
23	S	A	1	68.7	141.5
23	S	A	2	69.4	145
23	S	A	2	71.2	157.25
23	S	A	1	65.3	139.5
23	S	A	1	67.5	151
23	S	A	3	64.7	130.5
23	S	A	1	70.8	154
23	S	A	1	67	157
23	S	A	1	62	131.5
23	S	A	1	67	140
23	C	A	1	66	142.25
23	S	A	1	67.2	135
23	S	A	3	64.4	124.5
23	S	A	1	67.7	149.25
23	S	A	2	70	147.25
23	S	A	2	69.2	141.5
24	S	A	1	66.7	136
24	S	A	2	69.4	137
24	S	A	1	64	122
24	S	A	2	70.7	204.75
24	S	A	2	67.2	123
24	S	A	3	65.4	183.5
24	S	A	2	67.2	122.5
24	S	A	2	68	139
24	S	A	1	69.5	150.5
24	S	A	2	71.4	143
24	S	A	3	72.6	186.75
24	S	A	2	71.2	167
24	S	A	2	65.8	130.5
24	S	A	1	64.6	126
24	S	A	2	67.3	150.5
24	S	A	1	66.4	127
24	S	A	2	67	137.5
24	S	A	2	72.4	172.5
24	S	A	2	67.7	153.5
24	S	A	2	68.6	164
24	S	A	2	69	140.5
24	S	A	2	74.1	170
24	S	A	2	68.6	133.25
24	S	A	2	69.3	139.5
24	S	A	1	70.2	151.75
24	S	A	3	67.5	147
24	S	A	2	64.8	121.5
24	S	A	2	67.2	137.25
24	S	A	2	72.2	141.5
24	S	A	2	66.7	122
24	S	A	2	73.25	163
24	S	A	3	68.4	154.5
24	S	A	2	68.75	154
24	S	A	2	68.3	145
24	S	A	2	68.9	133
24	S	A	1	69.5	160
24	S	A	2	71.6	151.5
24	C	A	2	63.9	122.25
24	C	A	1	71.8	155.5
24	C	A	2	65.75	141
24	C	A	2	73.2	147.25
24	C	A	2	66.6	146.5
24	C	A	1	69.2	144.5
24	C	A	2	73	147.75
24	C	A	2	72.2	161
25	S	A	2	71.5	203.5
25	S	A	2	65.5	141.75
25	S	A	2	72	167
25	S	A	2	63.8	131
25	S	A	3	66.4	129
25	S	A	3	67.5	170
25	S	A	1	66.4	128.5
25	S	A	1	66	130
25	S	A	3	71.3	171.25
25	S	A	1	67.9	141.75
25	S	A	3	65.2	138
25	S	A	3	68.9	138.5
25	S	A	2	64.2	119.75
25	S	A	2	66.3	120.75
25	S	A	2	69.4	166
25	S	A	1	64.5	107.25
25	S	A	2	68	147.5
25	S	A	3	69	140
25	S	A	3	75.6	186.25
25	S	A	2	68.8	129
25	S	A	2	63.6	140
25	S	A	2	72.9	168.5
25	S	A	2	66.8	140.75
25	S	A	2	69.6	149
25	S	A	2	70.9	177
25	S	A	2	72.1	149.25
25	C	A	1	71	138.5
25	C	A	2	69.5	155.25
25	C	A	2	72.9	158
25	C	A	1	71.2	188.5
25	C	A	2	69.2	133
25	C	A	2	67.1	124.25
23	S	AV	1	65.4	129.5
23	S	AV	2	66.2	142
23	S	AV	2	66.4	153
23	S	AV	2	67.8	140
23	S	AV	1	63.9	120.5
23	S	AV	2	67.4	132.5
24	S	AV	1	65	140.75
24	S	AV	1	64.4	133.5
24	S	AV	2	68.6	139
24	S	AV	1	65.6	126.5
24	S	AV	2	65	137.5
24	C	AV	2	69.1	154.75
24	C	AV	nc	68.2	161.5
24	C	AV	1	68.6	166
24	C	AV	2	68	142.5
25	S	AV	nc	74.2	169.25
25	S	AV	1	69.6	141
25	S	AV	2	64.7	135.5
25	S	AV	1	68.1	141.75
25	S	AV	2	65.5	134
25	S	AV	2	69.4	160.25
25	S	AV	1	66.8	123.5
25	S	AV	1	71	164.25
25	S	AV	2	69.3	199
25	S	AV	1	71.2	150.25
25	S	AV	2	68.3	137.5
25	S	AV	3	69.2	162
23	S	G	2	69.8	143.5
23	S	G	1	69	141.5
23	S	G	2	69.3	156.5
23	S	G	2	70.7	143.25
23	S	G	3	73.8	151.5
23	S	G	1	72	164
23	S	G	2	68.5	148.75
23	S	G	2	62.9	110.5
23	S	G	2	69.2	135.25
23	S	G	2	66.8	154
23	S	G	3	70.1	147
23	S	G	3	65.4	134.75
23	S	G	3	69.5	172.5
23	S	G	2	74	152.5
23	S	G	2	66.5	137.5
23	S	G	1	65.6	147.75
23	S	G	3	68.9	153
23	S	G	1	67.2	146
23	S	G	3	68.7	147.75
23	S	G	2	69.6	157
23	S	G	1	69.6	142.5
23	S	G	2	66	128.25
23	S	G	2	68.2	134
23	S	G	2	70	164.5
23	S	G	2	68	158
23	S	G	2	68.1	139.25
23	S	G	3	67.2	141
23	S	G	3	71.8	145.5
23	S	G	2	71.3	154.25
23	S	G	2	66.8	131.75
23	S	G	2	66.5	113
23	S	G	2	72.3	164
23	S	G	2	66.7	144
23	C	G	1	69.8	236
23	C	G	3	66.5	132.5
23	S	G	3	68.3	149
23	S	G	2	67.6	142
23	S	G	2	65	138.5
24	S	G	1	65.3	133.5
24	S	G	3	70.2	122
24	S	G	2	72	150
24	C	G	1	71.8	165.5
24	S	G	1	72.9	162.5
24	S	G	1	65.1	137.75
24	S	G	2	65.6	116.5
24	S	G	2	70.2	149.25
24	S	G	1	66.7	131.75
24	S	G	2	67.8	145.25
24	S	G	2	70.2	176
24	S	G	2	69.5	140.25
24	S	G	1	66.5	139.25
24	S	G	3	66.3	127.5
24	S	G	1	69.9	139.5
24	S	G	2	68.4	150
24	S	G	1	73.7	154
24	S	G	2	70.6	173.25
24	S	G	3	61	133.5
24	S	G	1	67.3	134.25
24	S	G	3	69.5	143.5
24	S	G	2	66.2	126
24	S	G	2	65.5	118
24	S	G	1	69.5	150
24	S	G	3	68.7	154
24	S	G	3	68.8	145
24	S	G	1	65.1	140.25
24	S	G	2	68.4	158.5
24	S	G	2	71.2	138
24	S	G	1	65.7	128
24	S	G	nc	67	131
24	S	G	1	69.7	152.75
24	S	G	1	70.6	206.75
24	S	G	3	66.1	123.5
24	S	G	2	66.8	131
24	C	G	3	68.1	142
24	C	G	2	65.5	137.5
24	C	G	2	64.6	155.75
25	S	G	1	69.1	157
25	S	G	2	73.1	196.5
25	S	G	2	69.3	153.75
25	S	G	3	68.1	151
25	S	G	3	65.6	142.5
25	S	G	2	67.6	140.25
25	S	G	1	66.8	139
25	S	G	2	67.8	143
25	S	G	2	70.2	147.25
25	S	G	2	68	170
25	S	G	2	64.5	115
25	S	G	2	65.8	129.5
25	S	G	2	65.8	129.25
25	S	G	2	69.1	138
25	S	G	2	65.2	126
25	S	G	1	66.7	137.25
25	S	G	2	71.2	168.5
25	S	G	3	65.8	141
25	S	G	2	68	166
25	S	G	2	69.1	149.5
25	S	G	1	67.1	149
25	S	G	2	66.1	141.5
25	S	G	2	66.7	123.5
25	S	G	2	68.7	141.5
25	S	G	2	69.8	143.5
25	S	G	3	66.3	137
25	S	G	2	67.9	134
25	S	G	1	70	153.75
25	S	G	1	66.5	138
25	C	G	1	65.7	138
25	C	G	2	71.5	135.25
25	C	G	3	62.2	118.25
25	C	G	2	66.8	134.25
25	C	G	1	72.3	166.5
25	C	G	2	69.6	136
23	S	M	1	64	111.5
23	S	M	2	67.1	147
23	S	M	3	68.3	155.5
23	S	M	1	67.2	127
23	S	M	2	64	126.75
23	S	M	2	72.7	145
23	S	M	2	62.3	129
